Datetime;Parking;Free slots
2026-04-29 05:00:00;P+R Mały Płaszów;153.0
2026-04-29 05:00:00;P+R Nowy Bieżanów;98.0
2026-04-29 05:00:00;P+R Kurdwanów;153.0
2026-04-29 05:30:00;P+R Górka Narodowa;431.0
2026-04-29 05:30:00;P+R Pachońskiego;81.0
2026-04-29 05:30:00;P+R Krowodrza Górka;97.0
2026-04-29 05:30:00;P+R Czerwone Maki;174.0
2026-04-29 05:30:00;P+R Mały Płaszów;153.0
2026-04-29 05:30:00;P+R Nowy Bieżanów;94.0
2026-04-29 05:30:00;P+R Kurdwanów;148.0
2026-04-29 06:00:00;P+R Górka Narodowa;422.0
2026-04-29 06:00:00;P+R Pachońskiego;67.0
2026-04-29 06:00:00;P+R Krowodrza Górka;91.0
2026-04-29 06:00:00;P+R Czerwone Maki;162.0
2026-04-29 06:00:00;P+R Mały Płaszów;152.0
2026-04-29 06:00:00;P+R Nowy Bieżanów;87.0
2026-04-29 06:00:00;P+R Kurdwanów;143.0
2026-04-29 06:30:00;P+R Górka Narodowa;410.0
2026-04-29 06:30:00;P+R Pachońskiego;47.0
2026-04-29 06:30:00;P+R Krowodrza Górka;82.0
2026-04-29 06:30:00;P+R Czerwone Maki;145.0
2026-04-29 06:30:00;P+R Mały Płaszów;143.0
2026-04-29 06:30:00;P+R Nowy Bieżanów;68.0
2026-04-29 06:30:00;P+R Kurdwanów;131.0
2026-04-29 07:00:00;P+R Górka Narodowa;368.0
2026-04-29 07:00:00;P+R Pachońskiego;12.0
2026-04-29 07:00:00;P+R Krowodrza Górka;50.0
2026-04-29 07:00:00;P+R Czerwone Maki;129.0
2026-04-29 07:00:00;P+R Mały Płaszów;134.0
2026-04-29 07:00:00;P+R Nowy Bieżanów;36.0
2026-04-29 07:00:00;P+R Kurdwanów;111.0
2026-04-29 07:30:00;P+R Górka Narodowa;321.0
2026-04-29 07:30:00;P+R Pachońskiego;0.0
2026-04-29 07:30:00;P+R Krowodrza Górka;3.0
2026-04-29 07:30:00;P+R Czerwone Maki;102.0
2026-04-29 07:30:00;P+R Mały Płaszów;124.0
2026-04-29 07:30:00;P+R Nowy Bieżanów;4.0
2026-04-29 07:30:00;P+R Kurdwanów;94.0
2026-04-29 08:00:00;P+R Górka Narodowa;281.0
2026-04-29 08:00:00;P+R Pachońskiego;0.0
2026-04-29 08:00:00;P+R Krowodrza Górka;0.0
2026-04-29 08:00:00;P+R Czerwone Maki;80.0
2026-04-29 08:00:00;P+R Mały Płaszów;109.0
2026-04-29 08:00:00;P+R Nowy Bieżanów;0.0
2026-04-29 08:00:00;P+R Kurdwanów;81.0
2026-04-29 08:30:00;P+R Górka Narodowa;253.0
2026-04-29 08:30:00;P+R Pachońskiego;1.0
2026-04-29 08:30:00;P+R Krowodrza Górka;0.0
2026-04-29 08:30:00;P+R Czerwone Maki;56.0
2026-04-29 08:30:00;P+R Mały Płaszów;106.0
2026-04-29 08:30:00;P+R Nowy Bieżanów;0.0
2026-04-29 08:30:00;P+R Kurdwanów;69.0
2026-04-29 09:00:00;P+R Górka Narodowa;227.0
2026-04-29 09:00:00;P+R Pachońskiego;0.0
2026-04-29 09:00:00;P+R Krowodrza Górka;0.0
2026-04-29 09:00:00;P+R Czerwone Maki;39.0
2026-04-29 09:00:00;P+R Mały Płaszów;97.0
2026-04-29 09:00:00;P+R Nowy Bieżanów;0.0
2026-04-29 09:00:00;P+R Kurdwanów;63.0
2026-04-29 09:30:00;P+R Górka Narodowa;199.0
2026-04-29 09:30:00;P+R Pachońskiego;1.0
2026-04-29 09:30:00;P+R Krowodrza Górka;0.0
2026-04-29 09:30:00;P+R Czerwone Maki;29.0
2026-04-29 09:30:00;P+R Mały Płaszów;93.0
2026-04-29 09:30:00;P+R Nowy Bieżanów;0.0
2026-04-29 09:30:00;P+R Kurdwanów;53.0
2026-04-29 10:00:00;P+R Górka Narodowa;194.0
2026-04-29 10:00:00;P+R Pachońskiego;1.0
2026-04-29 10:00:00;P+R Krowodrza Górka;0.0
2026-04-29 10:00:00;P+R Czerwone Maki;18.0
2026-04-29 10:00:00;P+R Mały Płaszów;91.0
2026-04-29 10:00:00;P+R Nowy Bieżanów;0.0
2026-04-29 10:00:00;P+R Kurdwanów;50.0
2026-04-29 10:30:00;P+R Górka Narodowa;183.0
2026-04-29 10:30:00;P+R Pachońskiego;1.0
2026-04-29 10:30:00;P+R Krowodrza Górka;1.0
2026-04-29 10:30:00;P+R Czerwone Maki;16.0
2026-04-29 10:30:00;P+R Mały Płaszów;89.0
2026-04-29 10:30:00;P+R Nowy Bieżanów;0.0
2026-04-29 10:30:00;P+R Kurdwanów;48.0
2026-04-29 11:00:00;P+R Górka Narodowa;174.0
2026-04-29 11:00:00;P+R Pachońskiego;2.0
2026-04-29 11:00:00;P+R Krowodrza Górka;0.0
2026-04-29 11:00:00;P+R Czerwone Maki;14.0
2026-04-29 11:00:00;P+R Mały Płaszów;84.0
2026-04-29 11:00:00;P+R Nowy Bieżanów;2.0
2026-04-29 11:00:00;P+R Kurdwanów;44.0
2026-04-29 11:30:00;P+R Górka Narodowa;161.0
2026-04-29 11:30:00;P+R Pachońskiego;2.0
2026-04-29 11:30:00;P+R Krowodrza Górka;0.0
2026-04-29 11:30:00;P+R Czerwone Maki;14.0
2026-04-29 11:30:00;P+R Mały Płaszów;82.0
2026-04-29 11:30:00;P+R Nowy Bieżanów;1.0
2026-04-29 11:30:00;P+R Kurdwanów;44.0
2026-04-29 12:00:00;P+R Górka Narodowa;160.0
2026-04-29 12:00:00;P+R Pachońskiego;1.0
2026-04-29 12:00:00;P+R Krowodrza Górka;1.0
2026-04-29 12:00:00;P+R Czerwone Maki;16.0
2026-04-29 12:00:00;P+R Mały Płaszów;80.0
2026-04-29 12:00:00;P+R Nowy Bieżanów;0.0
2026-04-29 12:00:00;P+R Kurdwanów;43.0
2026-04-29 12:30:00;P+R Górka Narodowa;159.0
2026-04-29 12:30:00;P+R Pachońskiego;2.0
2026-04-29 12:30:00;P+R Krowodrza Górka;0.0
2026-04-29 12:30:00;P+R Czerwone Maki;18.0
2026-04-29 12:30:00;P+R Mały Płaszów;83.0
2026-04-29 12:30:00;P+R Nowy Bieżanów;0.0
2026-04-29 12:30:00;P+R Kurdwanów;43.0
2026-04-29 13:00:00;P+R Górka Narodowa;172.0
2026-04-29 13:00:00;P+R Pachońskiego;0.0
2026-04-29 13:00:00;P+R Krowodrza Górka;1.0
2026-04-29 13:00:00;P+R Czerwone Maki;17.0
2026-04-29 13:00:00;P+R Mały Płaszów;82.0
2026-04-29 13:00:00;P+R Nowy Bieżanów;0.0
2026-04-29 13:00:00;P+R Kurdwanów;41.0
2026-04-29 13:30:00;P+R Górka Narodowa;171.0
2026-04-29 13:30:00;P+R Pachońskiego;0.0
2026-04-29 13:30:00;P+R Krowodrza Górka;5.0
2026-04-29 13:30:00;P+R Czerwone Maki;22.0
2026-04-29 13:30:00;P+R Mały Płaszów;80.0
2026-04-29 13:30:00;P+R Nowy Bieżanów;1.0
2026-04-29 13:30:00;P+R Kurdwanów;40.0
2026-04-29 14:00:00;P+R Górka Narodowa;178.0
2026-04-29 14:00:00;P+R Pachońskiego;1.0
2026-04-29 14:00:00;P+R Krowodrza Górka;1.0
2026-04-29 14:00:00;P+R Czerwone Maki;23.0
2026-04-29 14:00:00;P+R Mały Płaszów;82.0
2026-04-29 14:00:00;P+R Nowy Bieżanów;0.0
2026-04-29 14:00:00;P+R Kurdwanów;42.0
2026-04-29 14:30:00;P+R Górka Narodowa;187.0
2026-04-29 14:30:00;P+R Pachońskiego;0.0
2026-04-29 14:30:00;P+R Krowodrza Górka;0.0
2026-04-29 14:30:00;P+R Czerwone Maki;21.0
2026-04-29 14:30:00;P+R Mały Płaszów;83.0
2026-04-29 14:30:00;P+R Nowy Bieżanów;2.0
2026-04-29 14:30:00;P+R Kurdwanów;45.0
2026-04-29 15:00:00;P+R Górka Narodowa;194.0
2026-04-29 15:00:00;P+R Pachońskiego;12.0
2026-04-29 15:00:00;P+R Krowodrza Górka;9.0
2026-04-29 15:00:00;P+R Czerwone Maki;23.0
2026-04-29 15:00:00;P+R Mały Płaszów;87.0
2026-04-29 15:00:00;P+R Nowy Bieżanów;8.0
2026-04-29 15:00:00;P+R Kurdwanów;53.0
2026-04-29 15:30:00;P+R Górka Narodowa;215.0
2026-04-29 15:30:00;P+R Pachońskiego;27.0
2026-04-29 15:30:00;P+R Krowodrza Górka;25.0
2026-04-29 15:30:00;P+R Czerwone Maki;36.0
2026-04-29 15:30:00;P+R Mały Płaszów;94.0
2026-04-29 15:30:00;P+R Nowy Bieżanów;12.0
2026-04-29 15:30:00;P+R Kurdwanów;59.0
2026-04-29 16:00:00;P+R Górka Narodowa;240.0
2026-04-29 16:00:00;P+R Pachońskiego;44.0
2026-04-29 16:00:00;P+R Krowodrza Górka;41.0
2026-04-29 16:00:00;P+R Czerwone Maki;53.0
2026-04-29 16:00:00;P+R Mały Płaszów;102.0
2026-04-29 16:00:00;P+R Nowy Bieżanów;29.0
2026-04-29 16:00:00;P+R Kurdwanów;73.0
2026-04-29 16:30:00;P+R Górka Narodowa;270.0
2026-04-29 16:30:00;P+R Pachońskiego;53.0
2026-04-29 16:30:00;P+R Krowodrza Górka;54.0
2026-04-29 16:30:00;P+R Czerwone Maki;73.0
2026-04-29 16:30:00;P+R Mały Płaszów;107.0
2026-04-29 16:30:00;P+R Nowy Bieżanów;39.0
2026-04-29 16:30:00;P+R Kurdwanów;88.0
2026-04-29 17:00:00;P+R Górka Narodowa;299.0
2026-04-29 17:00:00;P+R Pachońskiego;55.0
2026-04-29 17:00:00;P+R Krowodrza Górka;58.0
2026-04-29 17:00:00;P+R Czerwone Maki;92.0
2026-04-29 17:00:00;P+R Mały Płaszów;113.0
2026-04-29 17:00:00;P+R Nowy Bieżanów;50.0
2026-04-29 17:00:00;P+R Kurdwanów;101.0
2026-04-29 17:30:00;P+R Górka Narodowa;315.0
2026-04-29 17:30:00;P+R Pachońskiego;64.0
2026-04-29 17:30:00;P+R Krowodrza Górka;64.0
2026-04-29 17:30:00;P+R Czerwone Maki;106.0
2026-04-29 17:30:00;P+R Mały Płaszów;115.0
2026-04-29 17:30:00;P+R Nowy Bieżanów;53.0
2026-04-29 17:30:00;P+R Kurdwanów;106.0
2026-04-29 18:00:00;P+R Górka Narodowa;324.0
2026-04-29 18:00:00;P+R Pachońskiego;65.0
2026-04-29 18:00:00;P+R Krowodrza Górka;64.0
2026-04-29 18:00:00;P+R Czerwone Maki;114.0
2026-04-29 18:00:00;P+R Mały Płaszów;123.0
2026-04-29 18:00:00;P+R Nowy Bieżanów;55.0
2026-04-29 18:00:00;P+R Kurdwanów;114.0
2026-04-29 18:30:00;P+R Górka Narodowa;
2026-04-29 18:30:00;P+R Pachońskiego;
2026-04-29 18:30:00;P+R Krowodrza Górka;
2026-04-29 18:30:00;P+R Czerwone Maki;
2026-04-29 18:30:00;P+R Mały Płaszów;
2026-04-29 18:30:00;P+R Nowy Bieżanów;
2026-04-29 18:30:00;P+R Kurdwanów;
2026-04-29 19:00:00;P+R Górka Narodowa;359.0
2026-04-29 19:00:00;P+R Pachońskiego;75.0
2026-04-29 19:00:00;P+R Krowodrza Górka;59.0
2026-04-29 19:00:00;P+R Czerwone Maki;132.0
2026-04-29 19:00:00;P+R Mały Płaszów;128.0
2026-04-29 19:00:00;P+R Nowy Bieżanów;69.0
2026-04-29 19:00:00;P+R Kurdwanów;128.0
2026-04-29 19:30:00;P+R Górka Narodowa;375.0
2026-04-29 19:30:00;P+R Pachońskiego;73.0
2026-04-29 19:30:00;P+R Krowodrza Górka;65.0
2026-04-29 19:30:00;P+R Czerwone Maki;140.0
2026-04-29 19:30:00;P+R Mały Płaszów;129.0
2026-04-29 19:30:00;P+R Nowy Bieżanów;73.0
2026-04-29 19:30:00;P+R Kurdwanów;135.0
2026-04-29 20:00:00;P+R Górka Narodowa;383.0
2026-04-29 20:00:00;P+R Pachońskiego;77.0
2026-04-29 20:00:00;P+R Krowodrza Górka;70.0
2026-04-29 20:00:00;P+R Czerwone Maki;144.0
2026-04-29 20:00:00;P+R Mały Płaszów;131.0
2026-04-29 20:00:00;P+R Nowy Bieżanów;83.0
2026-04-29 20:00:00;P+R Kurdwanów;136.0
2026-04-29 20:30:00;P+R Górka Narodowa;387.0
2026-04-29 20:30:00;P+R Pachońskiego;79.0
2026-04-29 20:30:00;P+R Krowodrza Górka;71.0
2026-04-29 20:30:00;P+R Czerwone Maki;151.0
2026-04-29 20:30:00;P+R Mały Płaszów;135.0
2026-04-29 20:30:00;P+R Nowy Bieżanów;88.0
2026-04-29 20:30:00;P+R Kurdwanów;137.0
2026-04-29 21:00:00;P+R Górka Narodowa;397.0
2026-04-29 21:00:00;P+R Pachońskiego;81.0
2026-04-29 21:00:00;P+R Krowodrza Górka;80.0
2026-04-29 21:00:00;P+R Czerwone Maki;158.0
2026-04-29 21:00:00;P+R Mały Płaszów;139.0
2026-04-29 21:00:00;P+R Nowy Bieżanów;91.0
2026-04-29 21:00:00;P+R Kurdwanów;145.0
2026-04-29 21:30:00;P+R Górka Narodowa;405.0
2026-04-29 21:30:00;P+R Pachońskiego;83.0
2026-04-29 21:30:00;P+R Krowodrza Górka;83.0
2026-04-29 21:30:00;P+R Czerwone Maki;163.0
2026-04-29 21:30:00;P+R Mały Płaszów;142.0
2026-04-29 21:30:00;P+R Nowy Bieżanów;93.0
2026-04-29 21:30:00;P+R Kurdwanów;145.0
2026-04-29 22:00:00;P+R Górka Narodowa;411.0
2026-04-29 22:00:00;P+R Pachońskiego;84.0
2026-04-29 22:00:00;P+R Krowodrza Górka;85.0
2026-04-29 22:00:00;P+R Czerwone Maki;163.0
2026-04-29 22:00:00;P+R Mały Płaszów;142.0
2026-04-29 22:00:00;P+R Nowy Bieżanów;96.0
2026-04-29 22:00:00;P+R Kurdwanów;147.0
2026-04-29 22:30:00;P+R Górka Narodowa;416.0
2026-04-29 22:30:00;P+R Pachońskiego;86.0
2026-04-29 22:30:00;P+R Krowodrza Górka;88.0
2026-04-29 22:30:00;P+R Czerwone Maki;167.0
2026-04-29 22:30:00;P+R Mały Płaszów;144.0
2026-04-29 22:30:00;P+R Nowy Bieżanów;97.0
2026-04-29 22:30:00;P+R Kurdwanów;150.0
2026-04-29 23:00:00;P+R Górka Narodowa;417.0
2026-04-29 23:00:00;P+R Pachońskiego;86.0
2026-04-29 23:00:00;P+R Krowodrza Górka;89.0
2026-04-29 23:00:00;P+R Czerwone Maki;172.0
2026-04-29 23:00:00;P+R Mały Płaszów;149.0
2026-04-29 23:00:00;P+R Nowy Bieżanów;98.0
2026-04-29 23:00:00;P+R Kurdwanów;152.0
2026-04-29 23:30:00;P+R Górka Narodowa;421.0
2026-04-29 23:30:00;P+R Pachońskiego;87.0
2026-04-29 23:30:00;P+R Krowodrza Górka;93.0
2026-04-29 23:30:00;P+R Czerwone Maki;173.0
2026-04-29 23:30:00;P+R Mały Płaszów;152.0
2026-04-29 23:30:00;P+R Nowy Bieżanów;98.0
2026-04-29 23:30:00;P+R Kurdwanów;153.0
2026-04-30 00:00:00;P+R Górka Narodowa;424.0
2026-04-30 00:00:00;P+R Pachońskiego;88.0
2026-04-30 00:00:00;P+R Krowodrza Górka;93.0
2026-04-30 00:00:00;P+R Czerwone Maki;179.0
2026-04-30 00:00:00;P+R Mały Płaszów;154.0
2026-04-30 00:00:00;P+R Nowy Bieżanów;99.0
2026-04-30 00:00:00;P+R Kurdwanów;155.0
2026-04-30 00:30:00;P+R Górka Narodowa;434.0
2026-04-30 00:30:00;P+R Pachońskiego;88.0
2026-04-30 00:30:00;P+R Krowodrza Górka;101.0
2026-04-30 00:30:00;P+R Czerwone Maki;180.0
2026-04-30 00:30:00;P+R Mały Płaszów;154.0
2026-04-30 00:30:00;P+R Nowy Bieżanów;99.0
2026-04-30 00:30:00;P+R Kurdwanów;156.0
2026-04-30 01:00:00;P+R Górka Narodowa;434.0
2026-04-30 01:00:00;P+R Pachońskiego;88.0
2026-04-30 01:00:00;P+R Krowodrza Górka;101.0
2026-04-30 01:00:00;P+R Czerwone Maki;180.0
2026-04-30 01:00:00;P+R Mały Płaszów;154.0
2026-04-30 01:00:00;P+R Nowy Bieżanów;99.0
2026-04-30 01:00:00;P+R Kurdwanów;156.0
2026-04-30 01:30:00;P+R Górka Narodowa;434.0
2026-04-30 01:30:00;P+R Pachońskiego;88.0
2026-04-30 01:30:00;P+R Krowodrza Górka;101.0
2026-04-30 01:30:00;P+R Czerwone Maki;180.0
2026-04-30 01:30:00;P+R Mały Płaszów;155.0
2026-04-30 01:30:00;P+R Nowy Bieżanów;99.0
2026-04-30 01:30:00;P+R Kurdwanów;156.0
2026-04-30 02:00:00;P+R Górka Narodowa;434.0
2026-04-30 02:00:00;P+R Pachońskiego;88.0
2026-04-30 02:00:00;P+R Krowodrza Górka;101.0
2026-04-30 02:00:00;P+R Czerwone Maki;180.0
2026-04-30 02:00:00;P+R Mały Płaszów;155.0
2026-04-30 02:00:00;P+R Nowy Bieżanów;99.0
2026-04-30 02:00:00;P+R Kurdwanów;156.0
2026-04-30 02:30:00;P+R Górka Narodowa;434.0
2026-04-30 02:30:00;P+R Pachońskiego;88.0
2026-04-30 02:30:00;P+R Krowodrza Górka;101.0
2026-04-30 02:30:00;P+R Czerwone Maki;180.0
2026-04-30 02:30:00;P+R Mały Płaszów;155.0
2026-04-30 02:30:00;P+R Nowy Bieżanów;99.0
2026-04-30 02:30:00;P+R Kurdwanów;156.0
2026-04-30 03:00:00;P+R Górka Narodowa;434.0
2026-04-30 03:00:00;P+R Pachońskiego;88.0
2026-04-30 03:00:00;P+R Krowodrza Górka;101.0
2026-04-30 03:00:00;P+R Czerwone Maki;180.0
2026-04-30 03:00:00;P+R Mały Płaszów;155.0
2026-04-30 03:00:00;P+R Nowy Bieżanów;99.0
2026-04-30 03:00:00;P+R Kurdwanów;156.0
2026-04-30 03:30:00;P+R Górka Narodowa;434.0
2026-04-30 03:30:00;P+R Pachońskiego;88.0
2026-04-30 03:30:00;P+R Krowodrza Górka;101.0
2026-04-30 03:30:00;P+R Czerwone Maki;180.0
2026-04-30 03:30:00;P+R Mały Płaszów;155.0
2026-04-30 03:30:00;P+R Nowy Bieżanów;99.0
2026-04-30 03:30:00;P+R Kurdwanów;156.0
2026-04-30 04:00:00;P+R Górka Narodowa;434.0
2026-04-30 04:00:00;P+R Pachońskiego;88.0
2026-04-30 04:00:00;P+R Krowodrza Górka;101.0
2026-04-30 04:00:00;P+R Czerwone Maki;180.0
2026-04-30 04:00:00;P+R Mały Płaszów;155.0
2026-04-30 04:00:00;P+R Nowy Bieżanów;99.0
2026-04-30 04:00:00;P+R Kurdwanów;156.0
2026-04-30 04:30:00;P+R Górka Narodowa;433.0
2026-04-30 04:30:00;P+R Pachońskiego;88.0
2026-04-30 04:30:00;P+R Krowodrza Górka;101.0
2026-04-30 04:30:00;P+R Czerwone Maki;183.0
2026-04-30 04:30:00;P+R Mały Płaszów;155.0
2026-04-30 04:30:00;P+R Nowy Bieżanów;100.0
2026-04-30 04:30:00;P+R Kurdwanów;156.0
2026-04-30 05:00:00;P+R Górka Narodowa;432.0
2026-04-30 05:00:00;P+R Pachońskiego;86.0
2026-04-30 05:00:00;P+R Krowodrza Górka;98.0
2026-04-30 05:00:00;P+R Czerwone Maki;181.0
2026-04-30 05:00:00;P+R Mały Płaszów;153.0
2026-04-30 05:00:00;P+R Nowy Bieżanów;99.0
2026-04-30 05:00:00;P+R Kurdwanów;152.0
2026-04-30 05:30:00;P+R Górka Narodowa;432.0
2026-04-30 05:30:00;P+R Pachońskiego;81.0
2026-04-30 05:30:00;P+R Krowodrza Górka;93.0
2026-04-30 05:30:00;P+R Czerwone Maki;176.0
2026-04-30 05:30:00;P+R Mały Płaszów;153.0
2026-04-30 05:30:00;P+R Nowy Bieżanów;94.0
2026-04-30 05:30:00;P+R Kurdwanów;147.0
2026-04-30 06:00:00;P+R Górka Narodowa;425.0
2026-04-30 06:00:00;P+R Pachońskiego;69.0
2026-04-30 06:00:00;P+R Krowodrza Górka;85.0
2026-04-30 06:00:00;P+R Czerwone Maki;164.0
2026-04-30 06:00:00;P+R Mały Płaszów;151.0
2026-04-30 06:00:00;P+R Nowy Bieżanów;87.0
2026-04-30 06:00:00;P+R Kurdwanów;142.0
2026-04-30 06:30:00;P+R Górka Narodowa;408.0
2026-04-30 06:30:00;P+R Pachońskiego;47.0
2026-04-30 06:30:00;P+R Krowodrza Górka;78.0
2026-04-30 06:30:00;P+R Czerwone Maki;151.0
2026-04-30 06:30:00;P+R Mały Płaszów;141.0
2026-04-30 06:30:00;P+R Nowy Bieżanów;68.0
2026-04-30 06:30:00;P+R Kurdwanów;130.0
2026-04-30 07:00:00;P+R Górka Narodowa;382.0
2026-04-30 07:00:00;P+R Pachońskiego;15.0
2026-04-30 07:00:00;P+R Krowodrza Górka;54.0
2026-04-30 07:00:00;P+R Czerwone Maki;135.0
2026-04-30 07:00:00;P+R Mały Płaszów;135.0
2026-04-30 07:00:00;P+R Nowy Bieżanów;47.0
2026-04-30 07:00:00;P+R Kurdwanów;113.0
2026-04-30 07:30:00;P+R Górka Narodowa;342.0
2026-04-30 07:30:00;P+R Pachońskiego;0.0
2026-04-30 07:30:00;P+R Krowodrza Górka;25.0
2026-04-30 07:30:00;P+R Czerwone Maki;105.0
